Designator,Mid X,Mid Y,Rotation,Layer
C1,16.7,51.6,270.0,top
C10,54.3,28.6,270.0,top
C11,49.0,42.0,180.0,top
C12,59.1,31.0,0.0,top
C13,23.0,14.0,0.0,top
C20,37.0625,42.7,180.0,top
C21,36.6,52.2,180.0,top
C22,39.4,54.8,90.0,top
C23,37.0,54.8,90.0,top
C24,37.1,44.5,0.0,top
C25,36.4,54.8,90.0,top
C3,33.75,53.75,0.0,top
C4,13.5,48.3375,270.0,top
C5,56.7,24.0,0.0,top
C6,51.0,56.9,180.0,top
C7,11.6,50.9,270.0,top
C8,35.925,58.575,90.0,top
C9,13.6,56.9,0.0,top
D10,16.5,36.6,270.0,top
D11,42.0,42.0,0.0,top
D12,24.5,36.6,90.0,top
D13,58.8,29.7,270.0,top
D14,58.8,27.9,90.0,top
D19,28.3,37.4,180.0,top
D20,38.0,36.25,270.0,top
D3,20.5,36.6,270.0,top
D4,40.675,58.575,0.0,top
D5,38.925,58.575,0.0,top
D6,37.175,58.575,0.0,top
D7,19.5,36.6,270.0,top
D8,18.5,36.6,270.0,top
D9,17.5,36.6,270.0,top
J1,8.4,42.5,90.0,top
J2,23.0,30.5,0.0,top
J3,46.0,35.0,90.0,top
J6,35.0,30.195,0.0,top
L2,37.0,49.0,180.0,top
R10,38.8,54.8,270.0,top
R11,37.6,54.8,270.0,top
R12,38.2,54.8,90.0,top
R13,45.0,42.0,0.0,top
R3,33.75,34.2,90.0,top
R4,36.75,34.2,90.0,top
R5,33.75,52.75,180.0,top
R6,16.5,49.9,270.0,top
R7,15.7,49.9,270.0,top
R9,20.6,21.5,45.0,top
SW1,11.5,17.5,45.0,top
T1,61.8,31.0,90.0,top
U1,25.0,47.0,0.0,top
U2,58.5,17.5,270.0,top
U5,56.6,28.4,0.0,top
U6,23.0,17.5,270.0,top
U7,51.0,58.5,270.0,top
U8,12.0,59.0,90.0,top
U9,38.8,53.0125,0.0,top
